feature,shap_value,feature_value,abs_shap
rolling_7_mean,1360.3270910206602,2457.8571428571427,1360.3270910206602
lag_1,832.7099138614684,3351.0,832.7099138614684
lag_7,675.990052739968,3651.0,675.990052739968
lag_14,154.18701156482507,4350.0,154.18701156482507
transactions,132.88597390880818,2131.0,132.88597390880818
onpromotion,130.02093394421104,22,130.02093394421104
dayofweek,117.16435969666057,6,117.16435969666057
state,-87.83981072470215,Loja,87.83981072470215
rolling_14_mean,29.546881504469628,2834.1428571428573,29.546881504469628
rolling_14_std,-27.26167813899712,966.0230811976427,27.26167813899712
dow_sin,22.39979572651052,-0.7818314824680299,22.39979572651052
day,-15.992532436808789,18,15.992532436808789
lag_28,15.33426986991248,3582.0,15.33426986991248
rolling_7_std,-12.333130286916242,916.2824216312791,12.333130286916242
is_weekend,11.625761600417365,1,11.625761600417365
weekofyear,-11.268762884743616,24,11.268762884743616
month_sin,-7.601958131943235,0.49999999999999994,7.601958131943235
is_holiday,-6.282913321905611,0,6.282913321905611
dcoilwtico,-5.701121845232454,44.73,5.701121845232454
cluster,4.502740192859742,4,4.502740192859742
year,-3.842816355762552,2017,3.842816355762552
month_cos,-1.2295288118233954,-0.8660254037844387,1.2295288118233954
dow_cos,-1.1570552782338845,0.6234898018587334,1.1570552782338845
month,-1.128730794306972,6,1.128730794306972
type,0.779503708149536,D,0.779503708149536
