feature,shap_value,feature_value,abs_shap
rolling_7_mean,1872.3552123621475,2950.8571428571427,1872.3552123621475
lag_7,1316.4996312433916,8310.0,1316.4996312433916
transactions,-720.696530111778,1003.0,720.696530111778
lag_14,629.0413202369806,13889.0,629.0413202369806
lag_1,415.7896345961255,2043.0,415.7896345961255
onpromotion,215.25272904232082,30,215.25272904232082
rolling_7_std,-146.11719864406228,2508.84876843088,146.11719864406228
cluster,140.51024083848367,3,140.51024083848367
rolling_14_mean,126.76898913966895,4020.6428571428573,126.76898913966895
lag_28,-123.71315329084442,2683.0,123.71315329084442
dayofweek,117.75318788130684,6,117.75318788130684
day,105.53515073946744,25,105.53515073946744
state,61.57366827724051,Manabi,61.57366827724051
is_holiday,-38.534705417433514,1,38.534705417433514
month_cos,28.03927721565069,-0.8660254037844387,28.03927721565069
month_sin,-16.573931801051454,0.49999999999999994,16.573931801051454
weekofyear,14.890927726770421,25,14.890927726770421
is_weekend,13.426110198076332,1,13.426110198076332
year,-12.278920451755065,2017,12.278920451755065
rolling_14_std,-12.13417138896256,3508.4923040036338,12.13417138896256
type,11.065005840360527,C,11.065005840360527
dow_cos,8.288123365484124,0.6234898018587334,8.288123365484124
dcoilwtico,-6.512419436251477,42.86,6.512419436251477
dow_sin,-2.6526317083265587,-0.7818314824680299,2.6526317083265587
month,0.3173894243619869,6,0.3173894243619869
