feature,shap_value,feature_value,abs_shap
lag_1,1853.7381445251688,9425.0,1853.7381445251688
rolling_7_mean,1629.2066989528794,3425.5714285714284,1629.2066989528794
lag_7,393.2591512799895,3122.0,393.2591512799895
onpromotion,382.08252694114697,46,382.08252694114697
dayofweek,200.24319550989446,5,200.24319550989446
cluster,-182.95843236208185,4,182.95843236208185
day,-128.05884460450238,15,128.05884460450238
rolling_14_mean,120.79438062696703,3044.1428571428573,120.79438062696703
state,-87.43336819191875,Loja,87.43336819191875
transactions,-70.20489766461048,1957.0,70.20489766461048
lag_14,55.83682805975101,4409.0,55.83682805975101
dow_sin,47.42356444949596,-0.9749279121818236,47.42356444949596
rolling_7_std,45.8430328478092,2709.133124398704,45.8430328478092
weekofyear,-45.1559559062357,28,45.1559559062357
lag_28,38.31204487530787,3351.0,38.31204487530787
is_weekend,29.107379458708316,1,29.107379458708316
year,-25.42782493016676,2017,25.42782493016676
rolling_14_std,-22.741707259784107,2015.9866398039749,22.741707259784107
month_sin,-12.340946911709537,1.2246467991473532e-16,12.340946911709537
month_cos,10.917468720803509,-1.0,10.917468720803509
month,9.754104525066287,7,9.754104525066287
is_holiday,-8.219981222562954,0,8.219981222562954
dow_cos,-6.804426652777446,-0.2225209339563146,6.804426652777446
dcoilwtico,5.013050614383472,46.53,5.013050614383472
type,-3.7511578845033737,D,3.7511578845033737
