feature,shap_value,feature_value,abs_shap
rolling_7_mean,444.8197171690214,1553.0,444.8197171690214
lag_1,223.9879741881743,1056.0,223.9879741881743
onpromotion,189.28273776732962,31,189.28273776732962
transactions,-135.88441747366906,930.0,135.88441747366906
rolling_14_mean,74.98836639684744,1226.9285714285713,74.98836639684744
cluster,57.870670602115844,3,57.870670602115844
lag_7,45.60872180855108,782.0,45.60872180855108
lag_14,30.609999273116205,1299.0,30.609999273116205
dayofweek,25.660410997046892,6,25.660410997046892
state,20.384726370246906,Santo Domingo de los Tsachilas,20.384726370246906
rolling_14_std,-20.218478277946176,1104.5593248883467,20.218478277946176
dcoilwtico,-19.109389114095602,50.32,19.109389114095602
rolling_7_std,-17.751299213917953,1517.3162711401558,17.751299213917953
type,12.057775179549202,C,12.057775179549202
dow_cos,8.657784089934106,0.6234898018587334,8.657784089934106
weekofyear,-7.807395223643193,20,7.807395223643193
month_cos,-6.997508195208366,-0.4999999999999998,6.997508195208366
is_weekend,6.383102346839652,1,6.383102346839652
day,-5.790636855805938,21,5.790636855805938
lag_28,-5.313418751584508,979.0,5.313418751584508
dow_sin,4.732785462083676,-0.7818314824680299,4.732785462083676
year,-3.5531483499216527,2017,3.5531483499216527
month,-2.2722406835587643,5,2.2722406835587643
is_holiday,-1.007306166954697,0,1.007306166954697
month_sin,0.10602547840664238,0.8660254037844387,0.10602547840664238
