feature,shap_value,feature_value,abs_shap
lag_1,1130.6056137045423,4605.0,1130.6056137045423
rolling_7_mean,797.8193389454565,2199.714285714286,797.8193389454565
transactions,-285.84192939450924,953.0,285.84192939450924
rolling_14_mean,201.6005545906291,2022.0714285714287,201.6005545906291
onpromotion,165.79627214714804,32,165.79627214714804
cluster,122.27520554029762,3,122.27520554029762
lag_7,78.65373396719298,1770.0,78.65373396719298
lag_14,-50.29277436197119,1886.0,50.29277436197119
state,38.24358098114405,Manabi,38.24358098114405
dayofweek,-31.794389152691682,0,31.794389152691682
lag_28,27.417520088297536,2222.0,27.417520088297536
type,24.629292719389916,C,24.629292719389916
rolling_14_std,-23.760517768493287,865.6322246495029,23.760517768493287
dcoilwtico,-20.261439083552816,47.4,20.261439083552816
day,19.691701264477576,5,19.691701264477576
dow_sin,-19.654706509487074,0.0,19.654706509487074
dow_cos,13.795639688631086,1.0,13.795639688631086
rolling_7_std,-12.06483622756892,1123.3925871047502,12.06483622756892
year,-10.251261346860502,2017,10.251261346860502
is_holiday,-5.912361550146336,0,5.912361550146336
weekofyear,-4.540382478296131,23,4.540382478296131
month,-4.4580047312319735,6,4.4580047312319735
month_sin,-3.0117522885038803,0.49999999999999994,3.0117522885038803
month_cos,-1.6686598180877104,-0.8660254037844387,1.6686598180877104
is_weekend,-1.538315834268032,0,1.538315834268032
