feature,shap_value,feature_value,abs_shap
rolling_7_mean,2692.5312194383955,7861.237714285715,2692.5312194383955
transactions,-1619.6229059920856,1239.0,1619.6229059920856
lag_1,1341.9991337444633,11518.219,1341.9991337444633
lag_7,1051.1216851502084,7122.859,1051.1216851502084
lag_14,617.9656138409671,11695.359,617.9656138409671
onpromotion,502.7847195446582,100,502.7847195446582
rolling_14_mean,330.125075361254,7811.517357142858,330.125075361254
day,-229.76651444936445,14,229.76651444936445
dayofweek,-153.1744026905892,2,153.1744026905892
rolling_7_std,-61.86202415875987,1966.4297009845054,61.86202415875987
weekofyear,-34.65124101196412,24,34.65124101196412
dow_sin,33.81483492123194,0.9749279121818236,33.81483492123194
lag_28,-30.043381401459317,4317.406,30.043381401459317
year,29.574482779077993,2017,29.574482779077993
dcoilwtico,-29.230298136319753,44.79,29.230298136319753
rolling_14_std,-26.674037258947184,2073.308319480367,26.674037258947184
dow_cos,-23.23797848554773,-0.22252093395631434,23.23797848554773
month_sin,-21.50278577462844,0.49999999999999994,21.50278577462844
is_weekend,-18.441184261863466,0,18.441184261863466
is_holiday,-12.298246126587987,0,12.298246126587987
month,-12.034400623698247,6,12.034400623698247
state,11.531158282895571,Azuay,11.531158282895571
type,3.5755433116761703,B,3.5755433116761703
month_cos,2.260384142680425,-0.8660254037844387,2.260384142680425
cluster,-1.0125427924762431,6,1.0125427924762431
