feature,shap_value,feature_value,abs_shap
rolling_7_mean,3424.985717882676,9657.857142857143,3424.985717882676
lag_1,1902.719858798536,7283.0,1902.719858798536
lag_7,1179.1780218501613,8065.0,1179.1780218501613
rolling_14_mean,496.20783130074267,9839.142857142857,496.20783130074267
lag_14,445.0401709704254,7983.0,445.0401709704254
cluster,-239.5049467542872,14,239.5049467542872
onpromotion,149.97427049108248,29,149.97427049108248
transactions,119.2445812752003,3448.0,119.2445812752003
lag_28,-118.16132530640819,6401.0,118.16132530640819
dcoilwtico,104.71732614102294,43.34,104.71732614102294
rolling_7_std,-85.09604211558717,3434.0859739078523,85.09604211558717
month_sin,-69.052471106634,0.49999999999999994,69.052471106634
dayofweek,-64.47286513980298,1,64.47286513980298
is_holiday,-59.858444407191975,0,59.858444407191975
type,-43.145551286896236,A,43.145551286896236
day,-36.99033835514574,20,36.99033835514574
dow_sin,-32.905794172894915,0.7818314824680298,32.905794172894915
dow_cos,31.48164618001738,0.6234898018587336,31.48164618001738
is_weekend,-22.413837589834355,0,22.413837589834355
year,15.927459298174268,2017,15.927459298174268
weekofyear,-14.702391270459108,25,14.702391270459108
state,-7.598742374693818,Pichincha,7.598742374693818
month,-4.155709012180157,6,4.155709012180157
month_cos,-3.299858056870963,-0.8660254037844387,3.299858056870963
rolling_14_std,-2.582853027674659,3357.0119006489904,2.582853027674659
