feature,shap_value,feature_value,abs_shap
rolling_7_mean,1418.0284226647434,3675.5714285714284,1418.0284226647434
lag_1,599.5096228133882,3251.0,599.5096228133882
transactions,-409.2628311745853,706.0,409.2628311745853
onpromotion,208.05090520249698,41,208.05090520249698
lag_7,193.41161787081677,2215.0,193.41161787081677
rolling_14_mean,161.66461284289383,3520.1428571428573,161.66461284289383
cluster,84.50552669610465,3,84.50552669610465
state,70.56269365101745,Manabi,70.56269365101745
dayofweek,-32.34080319379119,2,32.34080319379119
lag_14,26.398063656437408,3008.0,26.398063656437408
dow_sin,-19.040841832135328,0.9749279121818236,19.040841832135328
day,-17.2346113503585,17,17.2346113503585
type,16.326213592399938,C,16.326213592399938
rolling_14_std,-14.603952671714868,770.8670300525142,14.603952671714868
weekofyear,-12.627766194277827,20,12.627766194277827
year,11.71017050471558,2017,11.71017050471558
dcoilwtico,-8.943492819502477,49.04,8.943492819502477
month_cos,-8.369866042010884,-0.4999999999999998,8.369866042010884
rolling_7_std,7.198504143570525,832.3927072287729,7.198504143570525
lag_28,-7.01763066051142,1963.0,7.01763066051142
is_holiday,-6.630831963212063,0,6.630831963212063
dow_cos,-2.853296351722476,-0.22252093395631434,2.853296351722476
is_weekend,-2.299135989229605,0,2.299135989229605
month_sin,1.76364466613343,0.8660254037844387,1.76364466613343
month,-0.7118850923940484,5,0.7118850923940484
